date,air_temp_CZ,air_temp_DE,air_temp_HU,air_temp_RO,air_temp_SK,air_temp_CZ,air_temp_DE,air_temp_HU,air_temp_RO,air_temp_SK,precipitation_CZ,precipitation_DE,precipitation_HU,precipitation_RO,SK
01/01/2010,273.22,278.47,270.57,264.01,267.12,0.07,5.32,-2.58,-9.14,-6.03,0.00737787051681671,0.00256204528772747,0.00252180508892535,0.00205160982372587,0.00806665407508576
02/01/2010,277.26,278.76,274.63,267.54,271.75,4.11,5.61,1.48,-5.61,-1.40,0.00301782256034281,0.000355677642375213,0.000340518764973045,0.00174087586155057,0.00257084570055923
03/01/2010,276.81,277.74,271.86,263.14,269.06,3.66,4.59,-1.29,-10.01,-4.09,0.000246208125859628,3.87387454346512e-05,0.000182200178071879,6.94638244487181e-05,7.84426275801666e-05
04/01/2010,275.64,276.81,273.16,265.30,271.13,2.49,3.66,0.01,-7.85,-2.02,0.000119650905102527,0.000287504376420201,0.00041915435392944,0.000710592309583288,0.000594789788825431
05/01/2010,274.12,277.26,273.35,269.59,270.69,0.97,4.11,0.20,-3.56,-2.46,0.000377108164408342,0.00135011607161956,5.28521050852999e-05,0.000767593905431477,0.000134973646770564
06/01/2010,276.86,278.62,273.61,268.94,271.30,3.71,5.47,0.46,-4.21,-1.85,0.00209280168629602,0.00263989847228917,0.00211610789696844,0.000216574625629386,0.00138819841185291
07/01/2010,273.53,275.15,273.89,270.36,272.19,0.38,2.00,0.74,-2.79,-0.96,0.00101615044495853,0.000400188403299397,0.00262332485917521,0.00211832446982612,0.000178218277889589
08/01/2010,270.49,273.49,271.08,270.10,268.36,-2.66,0.34,-2.07,-3.05,-4.79,0.000143368745234018,0.00150982067410718,2.37487746013148e-05,0.00337084283628395,4.58487332893306e-05
09/01/2010,271.08,276.28,269.24,267.12,266.16,-2.07,3.13,-3.91,-6.03,-6.99,0.00138648941257358,0.00333740016466663,2.7761788252358e-05,0.000152132129180536,0.00016015977910053
10/01/2010,274.85,279.70,270.85,265.92,268.45,1.70,6.55,-2.30,-7.23,-4.70,0.00523352421447644,0.0074340441961197,0.00144802007280263,6.9318464149675e-05,0.00255483299470302
11/01/2010,274.63,277.71,272.73,269.69,271.37,1.48,4.56,-0.42,-3.46,-1.78,0.000497768881821277,0.00332317567912843,0.0106955299221864,0.00169021779957143,0.00158236546514616
12/01/2010,273.00,274.51,273.02,270.45,271.58,-0.15,1.36,-0.13,-2.70,-1.57,0.00041748258515871,0.00204293389669983,0.00521768648348568,0.00316735135751435,0.00376460462058633
13/01/2010,270.92,272.54,270.16,269.37,269.16,-2.23,-0.61,-2.99,-3.78,-3.99,0.000266137807093019,0.00100681301120596,0.000135499723610107,0.000952167020197246,0.000553694899111329
14/01/2010,270.98,272.02,269.30,269.14,267.73,-2.17,-1.13,-3.85,-4.01,-5.42,0.000754861940670498,0.00218043986074953,7.15336031125905e-06,0.00451718016761138,1.22445610069117e-05
15/01/2010,270.46,271.17,268.10,267.37,266.12,-2.69,-1.98,-5.05,-5.78,-7.03,0.000374231614426629,0.00022459652782666,5.39163469860465e-06,0.000421716627925424,1.07429672012362e-05
16/01/2010,268.84,269.97,266.57,265.74,264.50,-4.31,-3.18,-6.58,-7.41,-8.65,0.000832718189714379,0.000365344493515294,0.000347431695270881,0.00104284219291219,3.32561592999151e-05
17/01/2010,267.90,270.28,267.80,268.94,264.36,-5.25,-2.87,-5.35,-4.21,-8.79,0.000734297867694787,0.00172653811692591,0.000321579255298614,0.00736069156372538,8.70779342411076e-05
18/01/2010,268.54,270.94,268.11,269.69,265.97,-4.61,-2.21,-5.04,-3.46,-7.18,0.00155301657858709,0.00129399984960013,0.000758449123181476,0.00137587517326937,0.000358828674264954
19/01/2010,268.34,270.03,270.88,271.40,269.49,-4.81,-3.12,-2.27,-1.75,-3.66,0.00227404956471136,0.00116336411598847,0.00986951749892173,0.0118197100777979,0.00790143426304737
20/01/2010,267.11,269.44,271.42,269.65,269.50,-6.04,-3.71,-1.73,-3.50,-3.65,0.00272514917785402,0.00267985808392111,0.0044254704897083,0.0132141315979146,0.00614728723099394
21/01/2010,264.80,266.79,266.38,263.01,263.69,-8.35,-6.36,-6.77,-10.14,-9.46,0.000180851218247227,4.81014555868953e-05,0.000564048618104907,0.00155129042206806,5.00660702370823e-05
22/01/2010,260.26,265.13,261.95,260.93,258.24,-12.89,-8.02,-11.20,-12.22,-14.91,3.99514089872783e-06,0.000184648741408945,0.000207091380028886,0.000174982331228787,3.18113383115449e-06
23/01/2010,264.65,270.61,262.58,265.56,259.82,-8.50,-2.54,-10.57,-7.59,-13.33,0.00274130687169638,0.00688461684155371,1.88197292539574e-05,0.00175706329291398,0.000196932730311417
